product_id,name,brand,item_number,price,barcode,quantity_in_stock,unit_size,description,category_id
8832,Advil - Extra Strong LIQUID GELS,Advil,870576,40.99,062107005067,2,80caps,"",118
9257,Trident Peppermint,Trident,24,1.99,057700225646,1000,1 pack,"",138
9258,Glosette Almonds,Glosette,43,2.99,068000670210,1000,1 pack,"",138
9259,M&M's Milk Chocolate,M&M's,66,0.00,058496812317,1000,1 bar,"",138
9260,Pringles Chili and Lime,Pringles,94,3.99,064100150584,1000,156 g,"",138
9261,Planters Salted Cocktail Peanuts,Planters,109,4.99,058716991662,1000,200g,"",138
9264,GingerAle,Gingerale,99,1.99,06224017,1000,355mL,"",138
9265,Kolik Drops,Dr Chase Pediatric,180748,14.99,059097002190,1000,60mL,"",138
9266,Fisherman's Friend Cherry,Fisherman's Friend,01,2.99,01125447,1000,1 pack,"",138
9267,Trident Spearmint,Trident,25,1.99,057700225608,1000,1 pack,"",138
9268,Glosette Peanuts,Glosette,44,2.99,068000670227,1000,1 pack,"",138
9269,M&M's Peanut,M&M's,67,1.99,058496812324,1000,1 pack,"",138
9270,NOSH and CO Milk Chocolate Covered Peanuts,Nosh & Co,110,1.99,771058802334,1000,70g,"",138
9272,MKO Moist Heat Pad - Neck,MKO,0,37.99,738435172404,1,1 brace,"",138
9273,Fisherman's Friend Honey Lemon,Fisherman's Friend,02,2.99,01125641,1000,1 pack,"",138
9274,Trident Watermelon Twist,Trident,26,1.99,057700225622,1000,1 pack,"",138
9275,Coffee Crisp,Nestle,45,1.99,059800000215,1001,1 bar,"",138
9276,Pepsi,Pepsi,99,1.99,069000004258,1000,355mL,"",138
9277,Mars,Mars,70,1.99,058496328733,1000,1 bar,"",138
9278,Pringles Mexican Street Corn,Pringles,95,3.99,064100150621,1000,1 can,"",138
9279,Nutella & GO,Nutella,111,2.99,062020050526,1000,52g,"",138
9281,MKO Moist Heat Pad - Small - Neck,MKO,LMS115,34.99,738435172381,2,1 pad,"",138
9282,ButterFinger,Butterfinger,49,1.99,062020100627,1000,1 bar,"",138
9284,Pringles Ketchup,Pringles,95,3.99,064100118690,1000,156g,"",138
9286,Flake,Cadburt,51,1.99,061200054606,1000,1 bar,"",138
9287,Trident Bubblegum,Trident,22,1.99,057700225707,1000,1 pack,"",138
9289,Halls Assorted CItrus,Halls,03,1.99,057700853863,2,1 pack,"",138
9290,Trident Tropical Twist,Trident,28,1.99,057700225660,10000,1 pack,"",138
9291,Aero Pepermint,Aero,46,1.99,059800523110,1001,1 pack,"",138
9292,Mars Cookie Dough,Mars,71,1.99,058496456566,1000,1 bar,"",138
9293,Pringles Pizza,Pringles,96,3.99,064100111431,1000,156g,"",138
9294,Twizzlers Twists,Twizzlers,112,1.99,056600825024,1000,90g,"",138
9298,Ensure Plus Can chocolate,Ensure,99,1.99,055325207023,1000,235mL,"",138
9300,Halls Honey,Halls,03,1.99,057700011973,1000,1 pack,"",138
9301,HiChew Strawberry,Hichew,30,0.00,851681008300,1001,1 pack,"",138
9302,Crunch Real Milk Chocolate,Nestle,47,1.99,059800131803,1000,1 bar,"",138
9303,Mirage Chocolate,"Mirage
",72,1.99,05987538,1000,1 bar,"",138
9304,Pringles Sour and Cream,Pringles,97,3.99,064100111356,1000,156g,"",138
9305,Twizzlers Gummies,Twizzlers,113,1.99,056600809611,1000,60g,"",138
9309,Glucerna Vanilla Bottle,Glucerna,99,2.99,055325004073,1000,237mL,"",138
9310,Dependend Fresh Protection with tabs Large,Dependend,54392,39.99,036000193176,1000,16 pads,"",138
9311,Halls Honey Lemon,Halls,04,1.99,057700628805,10000,1 pack,"",138
9313,Aero,Nestle,48,1.99,059800000116,1000,1 bar,"",138
9314,Mr.Big,Cadburt,73,1.99,06134521,1000,1 bar,"",138
9315,Pringles Ranch,Pringles,98,3.99,064100146204,1000,156g,"",138
9316,Turtles Classic,Nestle,114,1.29,059800751841,1000,33g,"",138
9320,Ensure High Protein Chocolate,Ensure,99,2.99,055325004295,101,237mL,"",138
9321,Halls Black Cherry,Halls,05,1.99,057700229958,1000,1 pack,"",138
9322,Halls Menthol Extra Strength,Halls,06,1.99,057700628034,1000,1 pack,"",138
9323,HiChew Green Apple,HiChew,31,0.00,851681008317,1002,1 pack,"",138
9324,Pringles Original Small,Pringles,99,1.99,064100852617,1000,67g,"",138
9325,Reese's Pieces,Reese's,115,1.00,056600793705,1000,51g,"",138
9327,ENSURE PLUS CALORIES BOTTLE Strawberry,Ensure,99,2.99,055325007524,1000,237mL,"",138
9329,Halls Menthol,Halls,08,0.00,057700627006,1000,1 pack,"",138
9330,Dairy Milk Fruit & Nut,Cadbury,50,0.00,061200084436,1000,1 bar,"",138
9280,RIb Belt - Female,MKO,1389,39.99,610570107339,1,1 brace,"",135
9262,ObusForme -M,ObusForme,0,69.99,064845227855,10,1 brace,"",135
9308,Ez Health Needles 32G 4mm,EZ Health,157583,27.99,671004000435,3,100 needles,"",116
9297,Ez Health Sterile Lancels - Extra gentle,EZ Health,191353,12.99,671004000350,1,100 lancets,"",116
9263,Health One Weekly Pill Box,Health One,0,3.99,627980500735,2,1 box,"",133
9319,Ez Health Needles 32G 6mm,EZ Health,157655,27.99,671004000510,3,100 needles,"",116
9299,AMG Zipper Mattress Protector,AMG,288957,20.99,775757454504,2,1 pad,"",115
9306,Figure 8 Clavicle Strap,Professional Orthopaedic,2454,34.99,048503245429,1,1 brace,"",135
9288,TEVA - Glycerin Suppositories,Teva,62752,7.99,058739743538,6,24 TABS,"",121
9328,Tena Men Absorbent Guard,Tena,69357,23.99,768702506007,1000,20 pads,"",115
9285,5ive Gum Watermelon,5ive,09,1.99,064900423987,1000,1 pack,add spearmint back - testing delete,138
8350,3m Nexcare Flexible Clear First Aid Tape Dispenser,3m,170591,7.99,051131222670,1,1 roll,"",125
9283,Oh Henry,Oh henry,74,1.99,068000792820,998,1 bar,"",138
8339,"3m NexcareGentle Removal Eye Patch KRR-14-CA, Regular",3m,146965,12.99,051131217294,1,14 Patches,"",125
8699,Freestyle Sterile Lancets 28 Gauge,Freestyle,"94529
",14.99,093815704270,5,28ct, ,116
9331,HiChew Mango,HiChew,33,0.00,851681008324,1002,1 pack,"",138
9333,HiChew Grape,HiChew,34,0.00,851681008850,1000,1 pack,"",138
9334,Dairy Milk Milk Chocolate,Cadbury,53,0.00,061200084450,1000,1 bar,"",138
9335,Oh Henry Peanut Butter,Oh henry,76,1.99,068000792837,1000,1 bar,"",138
9336,POP chips BBQ,POP,100,4.99,082666712220,1000,142g,"",138
9341,Glucerna Strawberry Bottle,Glucerna,99,2.99,055325004097,1000,237mL,"",138
